X,Y,Z,U_exact,U_approx
-0.75,0.35416666666666663,0.0,0.3301,0.330096
-0.75,0.3645833333333333,0.0,0.325031,0.325027
-0.75,0.375,0.0,0.320114,0.32011
-0.75,0.38541666666666663,0.0,0.315343,0.315338
-0.75,0.3958333333333333,0.0,0.310711,0.310706
-0.75,0.40625,0.0,0.306211,0.306205
-0.75,0.41666666666666663,0.0,0.301838,0.301831
-0.75,0.4270833333333333,0.0,0.297586,0.297578
-0.75,0.4375,0.0,0.293449,0.293441
-0.75,0.44791666666666663,0.0,0.289424,0.289414
-0.75,0.4583333333333333,0.0,0.285505,0.285493
-0.75,0.46875,0.0,0.281687,0.281674
-0.75,0.47916666666666663,0.0,0.277968,0.277952
-0.75,0.4895833333333333,0.0,0.274342,0.274324
-0.75,0.5,0.0,0.270806,0.270785
-0.7083333333333334,0.0,0.0,0.793353,0.793353
-0.7083333333333334,0.010416666666666666,0.0,0.769966,0.769965
-0.7083333333333334,0.020833333333333332,0.0,0.747708,0.747708
-0.7083333333333334,0.03125,0.0,0.726541,0.726541
-0.7083333333333334,0.041666666666666664,0.0,0.706418,0.706418
-0.7083333333333334,0.05208333333333333,0.0,0.687286,0.687287
-0.7083333333333334,0.0625,0.0,0.669092,0.669094
-0.7083333333333334,0.07291666666666666,0.0,0.651783,0.651784
